flightNumber,airline,origin,destination,scheduledDepartureTime,scheduledArrivalTime,price
665,Air India,Delhi,Mumbai,08:00,10:10,5955.0
678,Air India,Delhi,Mumbai,09:00,11:10,5955.0
865,Air India,Delhi,Mumbai,10:00,12:15,5955.0
863,Air India,Delhi,Mumbai,13:00,15:10,6373.0
624,Air India,Delhi,Mumbai,19:00,21:15,5955.0
696,Air India,Varanasi,Mumbai,13:25,15:40,6373.0
670,Air India,Bhubaneswar,Mumbai,14:55,17:20,6373.0
582,Air India,Calicut,Mumbai,07:30,09:10,6373.0
441,Air India,Aurangabad,Mumbai,20:20,21:35,5955.0
656,Air India,Rajkot,Mumbai,17:40,18:45,6373.0
626,Air India,Lucknow,Mumbai,11:05,13:15,6373.0
682,Air India,Kochi,Mumbai,08:15,10:15,6373.0
650,Air India,Amritsar,Mumbai,18:00,20:25,6373.0
646,Air India,Jodhpur,Mumbai,11:55,13:25,6373.0
614,Air India,Ahmedabad,Mumbai,07:25,08:40,6373.0
614,Air India,Ahmedabad,Mumbai,07:20,08:35,6373.0
612,Air India,Jaipur,Mumbai,13:55,15:35,6373.0
608,Air India,Bengaluru,Mumbai,17:25,19:05,6373.0
610,Air India,Bengaluru,Mumbai,19:10,21:05,10744.0
636,Air India,Indore,Mumbai,17:05,18:25,5955.0
642,Air India,Chandigarh,Mumbai,15:30,18:10,6373.0
644,Air India,Udaipur,Mumbai,16:20,17:50,6373.0
569,Air India,Chennai,Mumbai,06:20,08:10,11448.0
672,Air India,Chennai,Mumbai,14:55,16:50,21213.0
507,Air India,Hubli,Mumbai,13:20,14:30,15259.0
658,Air India,Coimbatore,Mumbai,13:40,15:25,6373.0
634,Air India,Bhopal,Mumbai,08:05,09:30,6373.0
632,Air India,Bhopal,Mumbai,21:35,23:25,6373.0
684,Air India,Goa,Mumbai,07:00,08:10,6373.0
664,Air India,Goa,Mumbai,15:20,16:30,6373.0
662,Air India,Goa,Mumbai,18:45,20:05,6373.0
676,Air India,Kolkata,Mumbai,09:25,12:25,13944.0
680,Air India,Mangalore,Mumbai,12:40,14:25,6373.0
485,Air India,Delhi,Visakhapatnam,05:30,07:40,11520.0
487,Air India,Delhi,Visakhapatnam,06:55,09:05,6312.0
451,Air India,Delhi,Visakhapatnam,15:00,17:15,12360.0
486,Air India,Port Blair,Visakhapatnam,09:45,11:55,6373.0
488,Air India,Port Blair,Visakhapatnam,12:30,14:35,6373.0
651,Air India,Raipur,Visakhapatnam,12:30,13:35,14343.0
453,Air India,Delhi,Amritsar,05:00,06:10,11900.0
649,Air India,Mumbai,Amritsar,07:15,10:05,12308.0
3419,Air India,Delhi,Leh,06:15,07:40,6373.0
3449,Air India,Delhi,Leh,06:25,07:40,6373.0
458,Air India,Chandigarh,Leh,10:15,11:10,6373.0
450,Air India,Jammu,Leh,10:15,11:20,6373.0
447,Air India,Srinagar,Leh,10:15,11:15,6373.0
889,Air India,Delhi,Imphal,09:30,12:10,7257.0
889,Air India,Guwahati,Imphal,12:45,13:45,7257.0
715,Air India,Aizwal,Imphal,12:15,13:00,14197.0
713,Air India,Kolkata,Imphal,10:15,11:45,14722.0
715,Air India,Kolkata,Imphal,11:20,12:40,14197.0
713,Air India,Kolkata,Imphal,13:00,14:20,14722.0
3713,Air India,Kolkata,Imphal,13:30,14:30,6373.0
407,Air India,Delhi,Patna,13:45,15:20,5927.0
415,Air India,Delhi,Patna,16:45,18:35,10921.0
475,Air India,Delhi,Jodhpur,12:55,14:15,9988.0
645,Air India,Mumbai,Jodhpur,09:35,11:20,13231.0
485,Air India,Delhi,Port Blair,05:30,09:15,11520.0
485,Air India,Visakhapatnam,Port Blair,08:15,10:05,11520.0
487,Air India,Visakhapatnam,Port Blair,09:40,11:50,6312.0
549,Air India,Chennai,Port Blair,05:05,07:20,16531.0
551,Air India,Chennai,Port Blair,10:30,12:40,13880.0
3549,Air India,Chennai,Port Blair,10:30,12:40,6373.0
3787,Air India,Chennai,Port Blair,10:30,12:40,6373.0
787,Air India,Kolkata,Port Blair,05:40,07:50,17977.0
3707,Air India,Kolkata,Port Blair,21:15,23:15,6373.0
491,Air India,Delhi,Jaipur,12:00,12:55,5126.0
611,Air India,Mumbai,Jaipur,11:35,13:15,17283.0
515,Air India,Hyderabad,Bengaluru,08:30,09:50,11488.0
584,Air India,Thiruvananthapuram,Bengaluru,09:15,10:30,6373.0
803,Air India,Delhi,Bengaluru,06:10,08:55,12150.0
506,Air India,Delhi,Bengaluru,09:30,12:00,12150.0
506,Air India,Delhi,Bengaluru,09:45,12:30,12150.0
502,Air India,Delhi,Bengaluru,13:30,16:15,12150.0
739,Air India,Bhubaneswar,Bengaluru,08:40,11:00,6373.0
639,Air India,Mumbai,Bengaluru,09:15,11:10,12138.0
607,Air India,Mumbai,Bengaluru,16:40,18:30,12453.0
728,Air India,Guwahati,Bengaluru,17:50,21:05,6373.0
563,Air India,Chennai,Bengaluru,13:25,14:35,5867.0
563,Air India,Chennai,Bengaluru,14:20,15:20,5867.0
771,Air India,Kolkata,Bengaluru,14:15,16:45,7900.0
544,Air India,Hyderabad,Vijayawada,16:05,16:55,11100.0
417,Air India,Delhi,Ranchi,11:10,12:50,6373.0
636,Air India,Delhi,Indore,15:05,16:30,5955.0
635,Air India,Mumbai,Indore,07:05,08:25,5943.0
819,Air India,Delhi,Vadodara,17:45,19:35,6373.0
753,Air India,Kolkata,Silchar,05:50,07:00,6373.0
651,Air India,Mumbai,Raipur,10:05,11:50,14343.0
457,Air India,Leh,Chandigarh,08:55,09:35,6373.0
851,Air India,Delhi,Pune,04:55,07:05,6373.0
849,Air India,Delhi,Pune,16:10,18:10,6373.0
853,Air India,Delhi,Pune,19:00,21:10,6373.0
471,Air India,Delhi,Udaipur,13:20,14:35,15825.0
643,Air India,Mumbai,Udaipur,14:10,15:40,15813.0
542,Air India,Hyderabad,Tirupati,12:35,13:35,9840.0
585,Air India,Bengaluru,Belgaum,07:25,08:30,6373.0
889,Air India,Delhi,Guwahati,09:30,12:10,7257.0
890,Air India,Imphal,Guwahati,14:20,15:15,6373.0
727,Air India,Bengaluru,Guwahati,13:50,16:55,6373.0
3427,Air India,Dibrugarh,Guwahati,08:10,09:15,6373.0
729,Air India,Kolkata,Guwahati,09:50,11:05,12159.0
731,Air India,Kolkata,Guwahati,16:35,18:10,6373.0
546,Air India,Hyderabad,Chennai,21:15,22:15,4033.0
439,Air India,Delhi,Chennai,06:05,08:55,12990.0
429,Air India,Delhi,Chennai,09:45,12:40,12990.0
540,Air India,Delhi,Chennai,20:40,23:35,12990.0
672,Air India,Madurai,Chennai,13:15,14:20,21213.0
510,Air India,Kochi,Chennai,17:40,18:55,6373.0
510,Air India,Kochi,Chennai,18:25,18:55,6373.0
570,Air India,Mumbai,Chennai,05:55,08:05,13398.0
671,Air India,Mumbai,Chennai,09:00,10:55,23478.0
550,Air India,Port Blair,Chennai,08:00,10:10,6373.0
552,Air India,Port Blair,Chennai,13:20,15:35,6373.0
3550,Air India,Port Blair,Chennai,13:20,15:35,6373.0
3788,Air India,Port Blair,Chennai,13:20,15:35,6373.0
564,Air India,Bengaluru,Chennai,11:40,12:35,3919.0
564,Air India,Bengaluru,Chennai,11:50,12:35,3919.0
564,Air India,Bengaluru,Chennai,11:50,12:50,3919.0
539,Air India,Coimbatore,Chennai,15:05,16:10,20268.0
765,Air India,Kolkata,Chennai,14:35,17:05,23394.0
508,Air India,Mumbai,Hubli,15:25,16:15,11488.0
715,Air India,Imphal,Aizwal,13:15,13:55,14197.0
715,Air India,Kolkata,Aizwal,10:25,11:40,14197.0
711,Air India,Kolkata,Aizwal,13:00,14:05,6373.0
711,Air India,Kolkata,Aizwal,13:05,14:20,6373.0
493,Air India,Delhi,Surat,05:15,07:10,10828.0
489,Air India,Delhi,Surat,19:05,20:40,20593.0
657,Air India,Mumbai,Coimbatore,11:05,13:00,7194.0
429,Air India,Chennai,Coimbatore,13:30,14:20,12990.0
3425,Air India,Delhi,Jammu,07:10,08:50,6373.0
821,Air India,Delhi,Jammu,10:50,12:20,6373.0
449,Air India,Leh,Jammu,08:55,09:40,6373.0
3426,Air India,Srinagar,Jammu,10:50,11:40,6373.0
822,Air India,Srinagar,Jammu,14:20,15:05,6373.0
406,Air India,Agra,Khajuraho,13:55,14:40,20445.0
435,Air India,Delhi,Bhopal,05:55,07:20,8413.0
437,Air India,Delhi,Bhopal,20:00,21:05,4161.0
633,Air India,Mumbai,Bhopal,06:00,07:25,4149.0
631,Air India,Mumbai,Bhopal,19:40,21:00,8296.0
3427,Air India,Delhi,Dibrugarh,05:00,07:40,6373.0
705,Air India,Kolkata,Dibrugarh,05:55,07:25,6373.0
743,Air India,Kolkata,Agartala,09:55,10:50,6354.0
3743,Air India,Kolkata,Agartala,15:30,16:35,6373.0
3743,Air India,Kolkata,Agartala,16:05,17:00,6373.0
663,Air India,Mumbai,Goa,13:30,14:45,13293.0
661,Air India,Mumbai,Goa,16:50,18:00,6373.0
683,Air India,Mumbai,Goa,21:10,22:20,20328.0
401,Air India,Delhi,Kolkata,06:50,09:00,19710.0
764,Air India,Delhi,Kolkata,16:55,19:10,13410.0
764,Air India,Delhi,Kolkata,17:05,19:10,13410.0
780,Air India,Bhubaneswar,Kolkata,15:10,15:55,5093.0
722,Air India,Bagdogra,Kolkata,15:40,16:45,6373.0
710,Air India,Dimapur,Kolkata,13:30,14:55,6373.0
710,Air India,Dimapur,Kolkata,14:50,16:50,6373.0
675,Air India,Mumbai,Kolkata,06:10,08:45,13398.0
774,Air India,Mumbai,Kolkata,20:30,23:15,12978.0
774,Air India,Mumbai,Kolkata,20:50,23:15,12978.0
714,Air India,Imphal,Kolkata,12:20,13:35,6373.0
715,Air India,Imphal,Kolkata,13:35,14:45,14197.0
714,Air India,Imphal,Kolkata,14:55,16:20,6373.0
3714,Air India,Imphal,Kolkata,15:10,16:05,6373.0
3708,Air India,Port Blair,Kolkata,23:55,02:30,6373.0
772,Air India,Bengaluru,Kolkata,11:05,13:30,5485.0
754,Air India,Silchar,Kolkata,07:40,08:50,6373.0
730,Air India,Guwahati,Kolkata,11:40,13:00,6373.0
775,Air India,Guwahati,Kolkata,18:45,20:00,7900.0
766,Air India,Chennai,Kolkata,11:40,13:55,11238.0
715,Air India,Aizwal,Kolkata,14:30,15:35,14197.0
712,Air India,Aizwal,Kolkata,14:50,16:05,6373.0
715,Air India,Aizwal,Kolkata,14:30,15:40,14197.0
712,Air India,Aizwal,Kolkata,14:55,15:55,6373.0
3744,Air India,Agartala,Kolkata,17:10,18:15,6373.0
3744,Air India,Agartala,Kolkata,17:30,18:30,6373.0
746,Air India,Agartala,Kolkata,19:45,20:30,6373.0
3744,Air India,Agartala,Kolkata,17:40,18:25,6373.0
827,Air India,Delhi,Srinagar,07:25,08:40,6373.0
825,Air India,Delhi,Srinagar,10:15,11:45,6373.0
448,Air India,Leh,Srinagar,08:55,09:35,6373.0
3425,Air India,Jammu,Srinagar,09:30,10:10,6373.0
821,Air India,Jammu,Srinagar,13:00,13:40,6373.0
679,Air India,Mumbai,Mangalore,10:15,12:00,15393.0
560,Air India,Delhi,Hyderabad,07:05,09:00,9840.0
544,Air India,Delhi,Hyderabad,13:05,15:15,11100.0
615,Air India,Mumbai,Hyderabad,06:15,07:50,3819.0
617,Air India,Mumbai,Hyderabad,14:00,15:40,6373.0
619,Air India,Mumbai,Hyderabad,19:20,20:45,14133.0
516,Air India,Bengaluru,Hyderabad,06:50,09:15,9904.0
516,Air India,Bengaluru,Hyderabad,08:05,09:15,9904.0
541,Air India,Tirupati,Hyderabad,14:15,15:10,6133.0
545,Air India,Chennai,Hyderabad,19:10,20:35,3538.0
545,Air India,Chennai,Hyderabad,20:40,22:00,3538.0
667,Air India,Mumbai,Thiruvananthapuram,17:20,19:40,16233.0
543,Air India,Hyderabad,Delhi,09:45,12:20,11488.0
433,Air India,Varanasi,Delhi,15:30,17:05,44025.0
474,Air India,Bhubaneswar,Delhi,21:25,23:40,6373.0
498,Air India,Rajkot,Delhi,07:35,08:55,6373.0
496,Air India,Rajkot,Delhi,19:15,20:55,6373.0
424,Air India,Lucknow,Delhi,03:55,04:55,9534.0
414,Air India,Lucknow,Delhi,11:10,12:25,6373.0
432,Air India,Lucknow,Delhi,14:05,15:25,6373.0
511,Air India,Kochi,Delhi,10:05,13:15,6373.0
864,Air India,Mumbai,Delhi,07:00,09:05,5943.0
677,Air India,Mumbai,Delhi,13:00,15:15,6373.0
660,Air India,Mumbai,Delhi,18:00,20:30,5943.0
452,Air India,Visakhapatnam,Delhi,08:40,11:10,6373.0
486,Air India,Visakhapatnam,Delhi,12:35,14:45,6373.0
462,Air India,Amritsar,Delhi,14:45,15:50,6373.0
480,Air India,Amritsar,Delhi,22:50,23:40,6373.0
3450,Air India,Leh,Delhi,08:15,09:45,6373.0
410,Air India,Patna,Delhi,12:50,14:35,6373.0
408,Air India,Patna,Delhi,16:00,17:40,6373.0
416,Air India,Patna,Delhi,19:00,20:55,6373.0
486,Air India,Port Blair,Delhi,10:50,14:35,6373.0
492,Air India,Jaipur,Delhi,13:30,14:25,6373.0
804,Air India,Bengaluru,Delhi,05:45,08:55,7909.0
804,Air India,Bengaluru,Delhi,06:10,08:55,7909.0
460,Air India,Vijayawada,Delhi,09:05,11:30,6373.0
478,Air India,Raipur,Delhi,07:45,09:30,6373.0
444,Air India,Chandigarh,Delhi,07:05,08:00,6373.0
464,Air India,Chandigarh,Delhi,12:45,13:55,6373.0
852,Air India,Pune,Delhi,07:40,09:50,6373.0
850,Air India,Pune,Delhi,18:50,21:05,6373.0
854,Air India,Pune,Delhi,21:55,00:10,6373.0
472,Air India,Udaipur,Delhi,15:10,16:30,6373.0
3427,Air India,Guwahati,Delhi,09:45,12:15,6373.0
890,Air India,Guwahati,Delhi,15:50,18:40,6373.0
892,Air India,Guwahati,Delhi,19:20,22:05,6373.0
430,Air India,Chennai,Delhi,09:55,13:00,16383.0
494,Air India,Surat,Delhi,07:45,09:30,6373.0
548,Air India,Coimbatore,Delhi,01:10,04:10,6373.0
822,Air India,Jammu,Delhi,15:45,17:15,6373.0
436,Air India,Bhopal,Delhi,08:00,09:25,6373.0
438,Air India,Bhopal,Delhi,22:00,23:25,6373.0
482,Air India,Bhopal,Delhi,14:40,16:00,6373.0
763,Air India,Kolkata,Delhi,06:55,09:15,6489.0
828,Air India,Srinagar,Delhi,11:25,13:00,6373.0
406,Air India,Delhi,Varanasi,10:15,11:35,20445.0
695,Air India,Mumbai,Varanasi,10:20,12:40,6993.0
595,Air India,Chennai,Varanasi,16:50,19:05,6373.0
422,Air India,Kolkata,Varanasi,14:30,15:30,6373.0
780,Air India,Hyderabad,Bhubaneswar,13:05,14:40,5093.0
473,Air India,Delhi,Bhubaneswar,18:40,20:55,19815.0
669,Air India,Mumbai,Bhubaneswar,12:05,14:25,11508.0
581,Air India,Mumbai,Calicut,06:50,08:55,6373.0
627,Air India,Mumbai,Nagpur,05:40,07:20,10458.0
629,Air India,Mumbai,Nagpur,19:00,20:35,10458.0
442,Air India,Mumbai,Aurangabad,15:25,16:45,5943.0
671,Air India,Chennai,Madurai,11:30,12:35,23478.0
495,Air India,Delhi,Rajkot,16:45,18:40,6373.0
655,Air India,Mumbai,Rajkot,15:30,16:40,12286.0
879,Air India,Delhi,Bagdogra,11:15,13:15,18073.0
721,Air India,Kolkata,Bagdogra,13:40,14:50,10522.0
433,Air India,Delhi,Gaya,12:10,13:40,44025.0
709,Air India,Kolkata,Dimapur,11:20,12:55,6373.0
709,Air India,Kolkata,Dimapur,13:00,14:30,6373.0
423,Air India,Delhi,Lucknow,02:15,03:15,20445.0
411,Air India,Delhi,Lucknow,07:05,08:15,24855.0
413,Air India,Delhi,Lucknow,09:50,10:40,6373.0
431,Air India,Delhi,Lucknow,12:20,13:30,24225.0
423,Air India,Delhi,Lucknow,02:15,05:40,20445.0
625,Air India,Mumbai,Lucknow,08:05,10:25,21746.0
512,Air India,Delhi,Kochi,14:10,17:45,14670.0
681,Air India,Mumbai,Kochi,17:05,19:15,23058.0
587,Air India,Bengaluru,Kochi,22:00,22:55,6373.0
509,Air India,Chennai,Kochi,08:05,09:25,5571.0
509,Air India,Chennai,Kochi,08:05,09:00,5571.0
620,Air India,Hyderabad,Mumbai,05:30,07:20,4387.0
616,Air India,Hyderabad,Mumbai,08:25,09:50,4387.0
618,Air India,Hyderabad,Mumbai,17:00,18:40,6373.0
668,Air India,Thiruvananthapuram,Mumbai,20:15,22:35,6373.0
887,Air India,Delhi,Mumbai,07:00,09:10,5955.0
624,Air India,Delhi,Mumbai,19:00,21:10,5955.0
670,Air India,Bhubaneswar,Mumbai,15:00,17:10,6373.0
628,Air India,Nagpur,Mumbai,07:55,09:35,6373.0
630,Air India,Nagpur,Mumbai,21:15,23:05,6373.0
656,Air India,Rajkot,Mumbai,17:15,18:20,6373.0
626,Air India,Lucknow,Mumbai,10:55,13:20,6373.0
651,Air India,Visakhapatnam,Mumbai,14:15,16:20,14343.0
646,Air India,Jodhpur,Mumbai,11:55,13:35,6373.0
612,Air India,Jaipur,Mumbai,14:00,15:50,6373.0
608,Air India,Bengaluru,Mumbai,17:25,19:10,6373.0
636,Air India,Indore,Mumbai,17:05,18:15,5955.0
622,Air India,Chandigarh,Mumbai,15:30,17:55,6373.0
658,Air India,Coimbatore,Mumbai,13:30,15:25,6373.0
658,Air India,Coimbatore,Mumbai,13:55,15:40,6373.0
632,Air India,Bhopal,Mumbai,21:50,23:25,6373.0
664,Air India,Goa,Mumbai,15:20,16:35,6373.0
662,Air India,Goa,Mumbai,18:30,20:15,6373.0
676,Air India,Kolkata,Mumbai,09:25,12:20,13944.0
486,Air India,Port Blair,Visakhapatnam,09:45,12:00,6373.0
453,Air India,Delhi,Amritsar,05:00,06:15,11900.0
649,Air India,Mumbai,Amritsar,07:40,10:05,12308.0
3449,Air India,Delhi,Leh,06:25,08:05,6373.0
458,Air India,Chandigarh,Leh,10:15,11:20,6373.0
450,Air India,Jammu,Leh,10:15,11:05,6373.0
714,Air India,Aizwal,Imphal,13:35,14:20,6373.0
713,Air India,Kolkata,Imphal,10:25,11:45,14722.0
3713,Air India,Kolkata,Imphal,13:30,14:45,6373.0
409,Air India,Delhi,Patna,10:35,12:15,23206.0
407,Air India,Delhi,Patna,13:45,15:25,5927.0
415,Air India,Delhi,Patna,16:45,18:20,10921.0
726,Air India,Amritsar,Patna,15:05,17:05,6373.0
406,Air India,Varanasi,Agra,12:10,13:20,20445.0
485,Air India,Delhi,Port Blair,05:30,09:05,11520.0
485,Air India,Visakhapatnam,Port Blair,08:15,10:10,11520.0
551,Air India,Chennai,Port Blair,10:30,11:25,13880.0
3549,Air India,Chennai,Port Blair,10:30,11:25,6373.0
787,Air India,Kolkata,Port Blair,05:30,07:50,17977.0
3707,Air India,Kolkata,Port Blair,21:15,23:35,6373.0
589,Air India,Bengaluru,Ahmedabad,00:30,02:35,6373.0
593,Air India,Chennai,Ahmedabad,10:15,12:50,6373.0
611,Air India,Mumbai,Jaipur,11:15,13:15,17283.0
515,Air India,Hyderabad,Bengaluru,08:35,09:50,11488.0
506,Air India,Delhi,Bengaluru,09:30,12:05,12150.0
739,Air India,Bhubaneswar,Bengaluru,11:55,13:40,6373.0
588,Air India,Kochi,Bengaluru,00:15,01:15,6373.0
603,Air India,Mumbai,Bengaluru,06:15,07:55,6169.0
639,Air India,Mumbai,Bengaluru,09:20,11:10,12138.0
590,Air India,Ahmedabad,Bengaluru,03:05,05:25,6373.0
586,Air India,Belgaum,Bengaluru,09:30,10:30,6373.0
728,Air India,Guwahati,Bengaluru,17:40,21:05,6373.0
563,Air India,Chennai,Bengaluru,13:25,14:25,5867.0
591,Air India,Chennai,Bengaluru,07:00,08:00,6373.0
771,Air India,Kolkata,Bengaluru,14:10,16:45,7900.0
459,Air India,Delhi,Vijayawada,06:00,08:15,17653.0
467,Air India,Delhi,Vijayawada,17:45,20:00,18493.0
417,Air India,Delhi,Ranchi,11:10,12:45,6373.0
636,Air India,Delhi,Indore,15:05,16:25,5955.0
819,Air India,Delhi,Vadodara,17:50,19:35,6373.0
823,Air India,Delhi,Vadodara,04:45,06:20,6373.0
3722,Air India,Aizwal,Silchar,14:45,15:30,6373.0
469,Air India,Delhi,Raipur,05:20,07:05,9840.0
477,Air India,Delhi,Raipur,05:25,07:05,6373.0
469,Air India,Delhi,Raipur,05:15,07:05,9840.0
651,Air India,Mumbai,Raipur,09:50,11:50,14343.0
443,Air India,Delhi,Chandigarh,05:45,06:35,6373.0
463,Air India,Delhi,Chandigarh,11:15,12:15,6373.0
443,Air India,Delhi,Chandigarh,05:35,06:35,6373.0
621,Air India,Mumbai,Chandigarh,05:55,08:30,6373.0
814,Air India,Pune,Chandigarh,12:20,14:55,6373.0
849,Air India,Delhi,Pune,16:10,18:15,6373.0
851,Air India,Delhi,Pune,04:55,07:00,6373.0
813,Air India,Chandigarh,Pune,09:15,11:40,6373.0
813,Air India,Chandigarh,Pune,09:35,12:00,6373.0
481,Air India,Bhopal,Pune,10:45,12:05,7468.0
605,Air India,Aurangabad,Udaipur,14:10,15:20,6373.0
643,Air India,Mumbai,Udaipur,14:25,15:40,15813.0
891,Air India,Delhi,Guwahati,16:15,18:45,12150.0
890,Air India,Imphal,Guwahati,14:20,15:10,6373.0
780,Air India,Kolkata,Guwahati,16:50,18:10,5093.0
